epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
1,1.998,66.18,89.94,0.9,0.9,0.2,6.65,50.0
2,1.41,68.95,92.05,0.9014285714285715,0.9014285714285715,0.19612244897959186,8.459183673469388,50.98979591836735
3,1.264,72.32,93.27,0.9028571428571429,0.9028571428571429,0.19224489795918367,10.268367346938776,51.97959183673469
4,1.166,73.45,94.55,0.9042857142857144,0.9042857142857144,0.18836734693877552,12.077551020408162,52.96938775510204
5,1.126,74.29,94.71,0.9057142857142857,0.9057142857142857,0.18448979591836737,13.88673469387755,53.95918367346939
6,1.053,75.36,94.72,0.9071428571428571,0.9071428571428571,0.18061224489795918,15.695918367346938,54.94897959183673
7,0.991,75.65,94.93,0.9085714285714286,0.9085714285714286,0.17673469387755103,17.505102040816325,55.93877551020408
8,0.92,77.05,96.23,0.91,0.91,0.17285714285714288,19.314285714285713,56.92857142857143
9,0.946,76.63,95.55,0.9114285714285715,0.9114285714285715,0.1689795918367347,21.1234693877551,57.91836734693877
10,0.913,76.9,95.63,0.9128571428571429,0.9128571428571429,0.16510204081632654,22.932653061224485,58.90816326530612
11,0.844,77.99,96.49,0.9142857142857143,0.9142857142857143,0.16122448979591839,24.741836734693877,59.89795918367347
12,0.829,78.37,96.61,0.9157142857142857,0.9157142857142857,0.1573469387755102,26.55102040816326,60.88775510204081
13,0.807,79.25,96.85,0.9171428571428571,0.9171428571428571,0.15346938775510205,28.360204081632652,61.87755102040816
14,0.777,79.5,97.03,0.9185714285714286,0.9185714285714286,0.1495918367346939,30.169387755102036,62.86734693877551
15,0.783,79.43,96.67,0.92,0.92,0.14571428571428574,31.978571428571428,63.85714285714286
16,0.779,79.82,96.73,0.9214285714285715,0.9214285714285715,0.14183673469387756,33.78775510204081,64.84693877551021
17,0.755,80.12,96.83,0.9228571428571428,0.9228571428571428,0.1379591836734694,35.5969387755102,65.83673469387755
18,0.744,80.21,96.97,0.9242857142857143,0.9242857142857143,0.13408163265306122,37.40612244897959,66.8265306122449
19,0.751,79.86,97.0,0.9257142857142857,0.9257142857142857,0.13020408163265307,39.21530612244897,67.81632653061224
20,0.733,80.33,97.05,0.9271428571428572,0.9271428571428572,0.1263265306122449,41.02448979591836,68.8061224489796
21,0.73,80.46,97.02,0.9285714285714286,0.9285714285714286,0.12244897959183675,42.83367346938775,69.79591836734694
