Epoch 36 | avg loss: 0.054 | avg top1: 98.39 | avg top5: 100.00
Epoch 36 | Alpha (gate activations): videomae: 0.2013 | timesformer: 0.0177 | vivit: 0.0000
Epoch 37 | avg loss: 0.057 | avg top1: 98.11 | avg top5: 100.00
Epoch 37 | Alpha (gate activations): videomae: 0.2137 | timesformer: 0.0171 | vivit: 0.0000
Epoch 38 | avg loss: 0.058 | avg top1: 98.18 | avg top5: 99.96
Epoch 38 | Alpha (gate activations): videomae: 0.2084 | timesformer: 0.0200 | vivit: 0.0000
Epoch 39 | avg loss: 0.070 | avg top1: 97.92 | avg top5: 99.98
Epoch 39 | Alpha (gate activations): videomae: 0.2034 | timesformer: 0.0182 | vivit: 0.0000
Epoch 40 | avg loss: 0.058 | avg top1: 97.98 | avg top5: 99.98
Epoch 40 | Alpha (gate activations): videomae: 0.2175 | timesformer: 0.0153 | vivit: 0.0000
Epoch 41 | avg loss: 0.066 | avg top1: 98.01 | avg top5: 100.00
Epoch 41 | Alpha (gate activations): videomae: 0.1897 | timesformer: 0.0154 | vivit: 0.0000
Epoch 42 | avg loss: 0.054 | avg top1: 98.28 | avg top5: 100.00
Epoch 42 | Alpha (gate activations): videomae: 0.1962 | timesformer: 0.0149 | vivit: 0.0000
Epoch 43 | avg loss: 0.054 | avg top1: 98.43 | avg top5: 100.00
Epoch 43 | Alpha (gate activations): videomae: 0.1876 | timesformer: 0.0148 | vivit: 0.0000
Epoch 44 | avg loss: 0.047 | avg top1: 98.54 | avg top5: 99.98
Epoch 44 | Alpha (gate activations): videomae: 0.1786 | timesformer: 0.0180 | vivit: 0.0000
Epoch 45 | avg loss: 0.036 | avg top1: 99.19 | avg top5: 100.00
Epoch 45 | Alpha (gate activations): videomae: 0.1880 | timesformer: 0.0163 | vivit: 0.0000
Epoch 46 | avg loss: 0.037 | avg top1: 98.92 | avg top5: 100.00
Epoch 46 | Alpha (gate activations): videomae: 0.1855 | timesformer: 0.0160 | vivit: 0.0000
Epoch 47 | avg loss: 0.044 | avg top1: 98.68 | avg top5: 100.00
Epoch 47 | Alpha (gate activations): videomae: 0.1700 | timesformer: 0.0172 | vivit: 0.0000
Epoch 48 | avg loss: 0.042 | avg top1: 98.68 | avg top5: 100.00
Epoch 48 | Alpha (gate activations): videomae: 0.1691 | timesformer: 0.0160 | vivit: 0.0000
Epoch 49 | avg loss: 0.060 | avg top1: 98.15 | avg top5: 100.00
Epoch 49 | Alpha (gate activations): videomae: 0.1674 | timesformer: 0.0177 | vivit: 0.0000
Epoch 50 | avg loss: 0.041 | avg top1: 98.54 | avg top5: 100.00
Epoch 50 | Alpha (gate activations): videomae: 0.1647 | timesformer: 0.0127 | vivit: 0.0000
